Asset_ID,Asset_Tag,Item_Class,Item_Family,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Date_Received,Warranty_Years,Warranty_End_Date,Expected_Replacement_Year,Asset_Status,Asset_Condition,Assigned_User,Department_Owner,School_ID,School_Name,District_ID,District_Name,BOCES_Region,Location_Detail
80062712,60902600,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,2OGVRAPDQT,2026-03-12,2026-03-19,5,2031-03-12,2031,Deployed,Good,James Jackson,District IT,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES,
80062713,34710805,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,DA4EXJ0LKP,2026-03-12,2026-04-03,5,2031-03-12,2031,Deployed,Good,Isabella Brown,District IT,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES,
80062714,61399087,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,5TS1BP7LFK,2026-03-12,2026-03-24,5,2031-03-12,2031,Deployed,Good,Noah Davis,School IT,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES,
80062715,13185941,Hardware,Display,Monitor,Dell,P2422H,0QKG89ST8N,2026-03-12,2026-03-20,3,2029-03-12,2029,Deployed,Good,Ava Williams,School IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062716,62036161,Hardware,Display,Monitor,Dell,P2422H,8DQK1BPRRX,2026-03-12,2026-03-20,3,2029-03-12,2029,Deployed,Good,Lily Martinez,District IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062717,15386160,Hardware,Display,Monitor,Dell,P2422H,0T6UI2Y9MH,2026-03-12,2026-03-22,3,2029-03-12,2029,Deployed,Good,Evelyn Anderson,School IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062718,23447126,Hardware,Display,Monitor,Dell,P2422H,UKH9CL3G51,2026-03-12,2026-04-02,3,2029-03-12,2029,Deployed,Good,Liam Smith,School IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062719,42738589,Hardware,Display,Monitor,Dell,P2422H,HC1MTY0J8J,2026-03-12,2026-03-28,3,2029-03-12,2029,Deployed,Good,Henry Lopez,District IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062720,55757041,Hardware,Display,Monitor,Dell,P2422H,IRRLRUPSTH,2026-03-12,2026-03-26,3,2029-03-12,2029,In Storage,Good,Isabella Hernandez,District IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
80062721,68909966,Hardware,Display,Monitor,Dell,P2422H,26G161MKHB,2026-03-12,2026-04-04,3,2029-03-12,2029,Deployed,Good,David Anderson,School IT,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES,
